slice_file_name,fsID,fold,classID,class_name
100001010800.wav,,,11,plastic_bag
100001020500.wav,,,11,plastic_bag
100001020800.wav,,,11,plastic_bag
1000010220400.wav,,,11,plastic_bag
100001050800.wav,,,11,plastic_bag
100001060500.wav,,,11,plastic_bag
100001060800.wav,,,11,plastic_bag
1000010620400.wav,,,11,plastic_bag
1000010640000.wav,,,11,plastic_bag
100002020500.wav,,,11,plastic_bag
100002020800.wav,,,11,plastic_bag
1000020220400.wav,,,11,plastic_bag
1000020240000.wav,,,11,plastic_bag
100002050800.wav,,,11,plastic_bag
1000020520400.wav,,,11,plastic_bag
100002060500.wav,,,11,plastic_bag
100002060800.wav,,,11,plastic_bag
1000020620400.wav,,,11,plastic_bag
1000020640000.wav,,,11,plastic_bag
100003020500.wav,,,11,plastic_bag
100003050500.wav,,,11,plastic_bag
1000040120400.wav,,,11,plastic_bag
100004020500.wav,,,11,plastic_bag
100004020800.wav,,,11,plastic_bag
1000040220400.wav,,,11,plastic_bag
1000040240000.wav,,,11,plastic_bag
1000040420400.wav,,,11,plastic_bag
100004060500.wav,,,11,plastic_bag
1000040620400.wav,,,11,plastic_bag
1000040640000.wav,,,11,plastic_bag
100005010500.wav,,,11,plastic_bag
1000050120400.wav,,,11,plastic_bag
100005020500.wav,,,11,plastic_bag
1000050220400.wav,,,11,plastic_bag
100005030500.wav,,,11,plastic_bag
1000050320400.wav,,,11,plastic_bag
100005040500.wav,,,11,plastic_bag
1000050420400.wav,,,11,plastic_bag
100005050500.wav,,,11,plastic_bag
1000050520400.wav,,,11,plastic_bag
100005060500.wav,,,11,plastic_bag
1000050620400.wav,,,11,plastic_bag
100007010800.wav,,,11,plastic_bag
1000070120400.wav,,,11,plastic_bag
1000070140000.wav,,,11,plastic_bag
100007020500.wav,,,11,plastic_bag
100007020800.wav,,,11,plastic_bag
1000070220400.wav,,,11,plastic_bag
1000070240000.wav,,,11,plastic_bag
100007030500.wav,,,11,plastic_bag
100007030800.wav,,,11,plastic_bag
1000070320400.wav,,,11,plastic_bag
1000070340000.wav,,,11,plastic_bag
100007040500.wav,,,11,plastic_bag
100007040800.wav,,,11,plastic_bag
1000070440000.wav,,,11,plastic_bag
100007050500.wav,,,11,plastic_bag
100007050800.wav,,,11,plastic_bag
1000070540000.wav,,,11,plastic_bag
100007060500.wav,,,11,plastic_bag
100007060800.wav,,,11,plastic_bag
1000070620400.wav,,,11,plastic_bag
1000070640000.wav,,,11,plastic_bag
10001020800.wav,,,11,plastic_bag
10001060500.wav,,,11,plastic_bag
10001060800.wav,,,11,plastic_bag
100010620400.wav,,,11,plastic_bag
100010640000.wav,,,11,plastic_bag
100020240000.wav,,,11,plastic_bag
10002060500.wav,,,11,plastic_bag
10002060800.wav,,,11,plastic_bag
100020620400.wav,,,11,plastic_bag
100020640000.wav,,,11,plastic_bag
10003010500.wav,,,11,plastic_bag
10003040500.wav,,,11,plastic_bag
100040240000.wav,,,11,plastic_bag
10004060500.wav,,,11,plastic_bag
10004060800.wav,,,11,plastic_bag
100040620400.wav,,,11,plastic_bag
100040640000.wav,,,11,plastic_bag
10005020500.wav,,,11,plastic_bag
100050220400.wav,,,11,plastic_bag
10005030500.wav,,,11,plastic_bag
10005040500.wav,,,11,plastic_bag
100050420400.wav,,,11,plastic_bag
10005060500.wav,,,11,plastic_bag
100050620400.wav,,,11,plastic_bag
10007020500.wav,,,11,plastic_bag
100070220400.wav,,,11,plastic_bag
100070240000.wav,,,11,plastic_bag
10007030800.wav,,,11,plastic_bag
10007040500.wav,,,11,plastic_bag
10007040800.wav,,,11,plastic_bag
100070420400.wav,,,11,plastic_bag
100070440000.wav,,,11,plastic_bag
10007050500.wav,,,11,plastic_bag
10007050800.wav,,,11,plastic_bag
100070520400.wav,,,11,plastic_bag
100070540000.wav,,,11,plastic_bag
10007060500.wav,,,11,plastic_bag
100070620400.wav,,,11,plastic_bag
100070640000.wav,,,11,plastic_bag
10008010500.wav,,,11,plastic_bag
10008020500.wav,,,11,plastic_bag
150001010800.wav,,,11,plastic_bag
150001020500.wav,,,11,plastic_bag
150001020800.wav,,,11,plastic_bag
